Stkcd,Reptdt,TobinQ
300267,2015/12/31,4.489994
300041,2015/12/31,2.388448
300187,2015/12/31,5.058952
300420,2015/12/31,1.752378
300424,2015/12/31,3.425935
300415,2015/12/31,1.833294
300357,2015/12/31,6.46656
300294,2015/12/31,3.071121
300242,2015/12/31,2.975445
300181,2015/12/31,3.039406
300212,2015/12/31,3.54013
300195,2015/12/31,1.58277
300490,2015/12/31,1.191465
300097,2015/12/31,2.515843
300046,2015/12/31,4.264118
300011,2015/12/31,3.888864
300396,2015/12/31,1.959203
300389,2015/12/31,2.51245
300325,2015/12/31,3.683609
300303,2015/12/31,2.666878
