Stkcd,Reptdt,Asset
300086,2015/12/31,2089864793
300269,2015/12/31,3259624807
300197,2015/12/31,6938298297
300010,2015/12/31,2711077478
300449,2015/12/31,861750623.7
300311,2015/12/31,1585379830
300319,2015/12/31,2065638858
300263,2015/12/31,3621044595
300246,2015/12/31,580646986.6
300171,2015/12/31,4062213760
300130,2015/12/31,1822478469
300346,2015/12/31,1299434976
300079,2015/12/31,4118485090
300236,2015/12/31,1159959929
300423,2015/12/31,585998269.4
300258,2015/12/31,1804462307
300250,2015/12/31,950452326.4
300075,2015/12/31,1860828293
300312,2015/12/31,1651691993
300261,2015/12/31,1578763552
300281,2015/12/31,1042998350
300313,2015/12/31,911912787.2
300501,2015/12/31,338832319.1
300494,2015/12/31,858909211.8
300040,2015/12/31,2339364819
300315,2015/12/31,7878249307
300165,2015/12/31,1715543895
300061,2015/12/31,830880194.7
300417,2015/12/31,388843705
300153,2015/12/31,1357848005
300276,2015/12/31,875238716.3
300164,2015/12/31,2024497506
300397,2015/12/31,1620747282
300304,2015/12/31,1252448163
300333,2015/12/31,891022918.8
300411,2015/12/31,839605571.4
300108,2015/12/31,2320179752
300460,2015/12/31,862160577.1
300042,2015/12/31,882545946.3
300113,2015/12/31,1908891011
300332,2015/12/31,4140712612
300381,2015/12/31,2452262378
300452,2015/12/31,458062181.7
300198,2015/12/31,2077000760
300185,2015/12/31,7890782037
300234,2015/12/31,876032254.3
300489,2015/12/31,579388169.4
300129,2015/12/31,3110091049
300035,2015/12/31,956846536.6
300106,2015/12/31,2270877509
300468,2015/12/31,814634994
300248,2015/12/31,1345338233
300265,2015/12/31,1309070947
300374,2015/12/31,1140751354
300268,2015/12/31,266120921.2
300467,2015/12/31,497946165.5
300366,2015/12/31,1692530477
300308,2015/12/31,641311598.3
300043,2015/12/31,3301103124
300350,2015/12/31,2140849125
300310,2015/12/31,1088411187
300173,2015/12/31,2069164936
300053,2015/12/31,1498158132
300413,2015/12/31,2359667588
300369,2015/12/31,2132871857
300006,2015/12/31,3102763482
300119,2015/12/31,2348598918
300433,2015/12/31,20491836514
300151,2015/12/31,967802948.3
300232,2015/12/31,1703810744
300128,2015/12/31,3314601974
300166,2015/12/31,2829943216
300182,2015/12/31,6020988897
300038,2015/12/31,3022755303
300492,2015/12/31,403238154.2
300444,2015/12/31,1211645631
300487,2015/12/31,808850542.1
300486,2015/12/31,945946540.5
300388,2015/12/31,3975688110
300462,2015/12/31,688748532.4
300083,2015/12/31,8772688060
300370,2015/12/31,1542109279
300496,2015/12/31,1196269723
300188,2015/12/31,2202465811
300465,2015/12/31,866716087.8
300170,2015/12/31,2108380165
300141,2015/12/31,862074427.6
300402,2015/12/31,1520676311
300377,2015/12/31,507548066.2
300192,2015/12/31,802922800.6
300440,2015/12/31,1601259374
300194,2015/12/31,2479086385
300183,2015/12/31,2468890444
300497,2015/12/31,1009658555
300091,2015/12/31,2132617862
300275,2015/12/31,861857116.6
