Stkcd,Reptdt,Roa
300146,2015/12/31,0.163106
300259,2015/12/31,0.079251
300331,2015/12/31,0.00505
300014,2015/12/31,0.079442
300144,2015/12/31,0.119203
300191,2015/12/31,-0.038514
300122,2015/12/31,0.073165
300204,2015/12/31,0.107869
300203,2015/12/31,0.0768
300077,2015/12/31,0.028353
300432,2015/12/31,0.165166
300009,2015/12/31,0.114319
300441,2015/12/31,0.056756
300485,2015/12/31,0.157128
300283,2015/12/31,0.00281
300163,2015/12/31,0.027897
300148,2015/12/31,0.086022
300335,2015/12/31,0.028336
300105,2015/12/31,-0.017061
300414,2015/12/31,0.127131
300314,2015/12/31,0.061072
300238,2015/12/31,0.087591
300024,2015/12/31,0.082078
300316,2015/12/31,0.053192
300430,2015/12/31,0.065491
300111,2015/12/31,0.028131
300245,2015/12/31,0.053528
300457,2015/12/31,0.079379
300116,2015/12/31,0.025529
300360,2015/12/31,0.15191
300322,2015/12/31,-0.100826
300073,2015/12/31,0.009628
300408,2015/12/31,0.190202
300421,2015/12/31,0.080862
300244,2015/12/31,0.10514
300383,2015/12/31,0.093651
300068,2015/12/31,0.047339
300375,2015/12/31,0.096336
300087,2015/12/31,0.039769
300172,2015/12/31,0.073263
300072,2015/12/31,0.105002
300403,2015/12/31,0.111745
300176,2015/12/31,0.019878
300216,2015/12/31,0.015495
300080,2015/12/31,-0.00016
300143,2015/12/31,0.011416
300428,2015/12/31,0.103715
300458,2015/12/31,0.085822
300025,2015/12/31,0.055075
300422,2015/12/31,0.052381
300225,2015/12/31,0.060185
300393,2015/12/31,0.081183
300398,2015/12/31,0.11499
300149,2015/12/31,0.081096
300120,2015/12/31,0.006846
300365,2015/12/31,0.142107
300488,2015/12/31,0.128762
300104,2015/12/31,0.016809
300215,2015/12/31,0.007549
300296,2015/12/31,0.091754
300472,2015/12/31,0.058808
300255,2015/12/31,0.071655
300019,2015/12/31,0.10423
300045,2015/12/31,0.02594
300184,2015/12/31,0.043559
300222,2015/12/31,0.076863
300256,2015/12/31,0.010683
300037,2015/12/31,0.067511
300101,2015/12/31,0.079912
300036,2015/12/31,0.061302
300017,2015/12/31,0.302569
300213,2015/12/31,0.060652
300249,2015/12/31,0.018087
300466,2015/12/31,0.063566
300491,2015/12/31,0.110005
300034,2015/12/31,0.083804
300056,2015/12/31,0.059317
300368,2015/12/31,0.067447
300026,2015/12/31,0.112702
300410,2015/12/31,0.061743
300247,2015/12/31,0.030249
300262,2015/12/31,0.051532
300114,2015/12/31,0.066403
300081,2015/12/31,0.001262
300027,2015/12/31,0.087919
300210,2015/12/31,0.056457
300067,2015/12/31,0.05115
300092,2015/12/31,-0.071197
300209,2015/12/31,-0.000918
300455,2015/12/31,0.100149
300293,2015/12/31,0.005469
300320,2015/12/31,0.065637
300117,2015/12/31,0.01762
300392,2015/12/31,0.12065
300066,2015/12/31,0.096874
300139,2015/12/31,0.027643
300150,2015/12/31,0.069329
