Stkcd,Reptdt,RDSpendSum
300217,2014/12/31,32913036.26
300218,2014/12/31,72440917.68
300219,2014/12/31,43755425.58
300220,2014/12/31,13529220.79
300221,2014/12/31,42839237.81
300222,2014/12/31,42128146.66
300223,2014/12/31,42835126.3
300224,2014/12/31,32228764.8
300225,2014/12/31,22235367.39
300226,2014/12/31,20502831.92
300227,2014/12/31,9994890.64
300228,2014/12/31,83541859.5
300229,2014/12/31,61312474.69
300230,2014/12/31,18753367.78
300231,2014/12/31,15711577.8
300232,2014/12/31,36803828.84
300233,2014/12/31,49683408.51
300234,2014/12/31,26319532.4
300235,2014/12/31,16571986.75
300236,2014/12/31,26489923.27
300237,2014/12/31,58814875.61
300238,2014/12/31,29938800.76
300239,2014/12/31,13015912.37
300240,2014/12/31,31020800
300241,2014/12/31,42431443.34
300242,2014/12/31,5475917.37
300243,2014/12/31,30957874.34
300244,2014/12/31,57038740.86
300245,2014/12/31,35163993.38
300246,2014/12/31,21600234.29
300247,2014/12/31,9768583.01
300248,2014/12/31,28940826.51
300249,2014/12/31,27999791.03
300250,2014/12/31,18494067.75
300252,2014/12/31,43167352.38
300253,2014/12/31,53797836.42
300254,2014/12/31,27207826.33
300255,2014/12/31,37699958.79
300256,2014/12/31,81093486.29
300257,2014/12/31,40991982.3
300258,2014/12/31,32030213.84
300259,2014/12/31,15286593.51
300260,2014/12/31,16014507.11
300261,2014/12/31,40899535.87
300262,2014/12/31,12883085.96
300263,2014/12/31,32257940.4
300264,2014/12/31,32472617.59
300265,2014/12/31,39031592.72
300266,2014/12/31,22556380.08
300267,2014/12/31,67999852.99
300269,2014/12/31,30523592.21
300270,2014/12/31,32358980.2
300271,2014/12/31,155260312
300272,2014/12/31,12166546.95
300273,2014/12/31,40710607.58
300274,2014/12/31,111300144.6
300275,2014/12/31,29883713.9
300276,2014/12/31,14138177.14
300277,2014/12/31,51543042.05
300278,2014/12/31,25015794.14
300279,2014/12/31,23902200.59
300280,2014/12/31,11268794.02
300281,2014/12/31,12200726.55
300282,2014/12/31,26788050.87
300283,2014/12/31,31528601.52
300284,2014/12/31,91865003.11
300285,2014/12/31,23870275.94
300286,2014/12/31,28541813.68
300287,2014/12/31,20106947.45
300288,2014/12/31,33482971.06
