Stkcd,Reptdt,Dual
300306,2015/12/31,1
300051,2015/12/31,1
300076,2015/12/31,1
300112,2015/12/31,2
300069,2015/12/31,1
300107,2015/12/31,2
300174,2015/12/31,2
300257,2015/12/31,2
300235,2015/12/31,1
300267,2015/12/31,2
300049,2015/12/31,2
300187,2015/12/31,1
300041,2015/12/31,2
300420,2015/12/31,2
300424,2015/12/31,2
300415,2015/12/31,2
300195,2015/12/31,2
300357,2015/12/31,1
300181,2015/12/31,2
300242,2015/12/31,1
300212,2015/12/31,2
300294,2015/12/31,2
300490,2015/12/31,2
300097,2015/12/31,1
300046,2015/12/31,1
300389,2015/12/31,1
300011,2015/12/31,2
300396,2015/12/31,2
300303,2015/12/31,1
300325,2015/12/31,2
300426,2015/12/31,1
300136,2015/12/31,2
300473,2015/12/31,2
300156,2015/12/31,2
300418,2015/12/31,1
300394,2015/12/31,1
300341,2015/12/31,2
300240,2015/12/31,2
300211,2015/12/31,1
300124,2015/12/31,1
300251,2015/12/31,1
300031,2015/12/31,1
300434,2015/12/31,1
300085,2015/12/31,2
300359,2015/12/31,1
300400,2015/12/31,2
300334,2015/12/31,2
300438,2015/12/31,1
300100,2015/12/31,1
300330,2015/12/31,2
300012,2015/12/31,2
300358,2015/12/31,1
300084,2015/12/31,2
300126,2015/12/31,1
300205,2015/12/31,2
300021,2015/12/31,2
300435,2015/12/31,2
300470,2015/12/31,2
300356,2015/12/31,2
300058,2015/12/31,1
300427,2015/12/31,1
300387,2015/12/31,1
300295,2015/12/31,2
300070,2015/12/31,2
300088,2015/12/31,2
300202,2015/12/31,2
300448,2015/12/31,2
300493,2015/12/31,2
300096,2015/12/31,2
300282,2015/12/31,2
300340,2015/12/31,2
300500,2015/12/31,2
300224,2015/12/31,2
300348,2015/12/31,2
300110,2015/12/31,2
300196,2015/12/31,2
300380,2015/12/31,2
300347,2015/12/31,1
300344,2015/12/31,1
300098,2015/12/31,2
300241,2015/12/31,1
300498,2015/12/31,2
300391,2015/12/31,2
300477,2015/12/31,1
300285,2015/12/31,2
300159,2015/12/31,1
300395,2015/12/31,2
300219,2015/12/31,2
300384,2015/12/31,1
300032,2015/12/31,2
300020,2015/12/31,2
300254,2015/12/31,2
300484,2015/12/31,1
300319,2015/12/31,2
300352,2015/12/31,1
300197,2015/12/31,2
300010,2015/12/31,1
300431,2015/12/31,1
300086,2015/12/31,1
300269,2015/12/31,1
300311,2015/12/31,1
300449,2015/12/31,1
300130,2015/12/31,1
300263,2015/12/31,2
300171,2015/12/31,1
300346,2015/12/31,2
300246,2015/12/31,1
300312,2015/12/31,1
300250,2015/12/31,1
300261,2015/12/31,1
300258,2015/12/31,1
300075,2015/12/31,2
300079,2015/12/31,1
300236,2015/12/31,2
300423,2015/12/31,2
300313,2015/12/31,1
300281,2015/12/31,2
300040,2015/12/31,2
300501,2015/12/31,1
300494,2015/12/31,1
300315,2015/12/31,1
300417,2015/12/31,2
300061,2015/12/31,1
300397,2015/12/31,1
300164,2015/12/31,2
300165,2015/12/31,2
300276,2015/12/31,2
300333,2015/12/31,1
300304,2015/12/31,1
300489,2015/12/31,2
300234,2015/12/31,2
300460,2015/12/31,1
300452,2015/12/31,1
300129,2015/12/31,2
300042,2015/12/31,2
300332,2015/12/31,2
300113,2015/12/31,1
300411,2015/12/31,2
300108,2015/12/31,1
300198,2015/12/31,1
300381,2015/12/31,1
300185,2015/12/31,2
300153,2015/12/31,2
300035,2015/12/31,2
300106,2015/12/31,2
300468,2015/12/31,1
300374,2015/12/31,2
300506,2015/12/31,2
