Stkcd,Reptdt,Shrcr
300398,2014/12/31,0.538
300384,2014/12/31,0.4532
300406,2014/12/31,0.149
300407,2014/12/31,0.2571
300374,2014/12/31,0.528
300392,2014/12/31,0.3236
300410,2014/12/31,0.6074
300395,2014/12/31,0.1539
300413,2014/12/31,0.5411
300408,2014/12/31,0.3763
300042,2013/12/31,0.2313
300042,2014/12/31,0.2163
300346,2014/12/31,0.1995
300228,2014/12/31,0.1268
300326,2013/12/31,0.1276
300346,2013/12/31,0.1995
300142,2014/12/31,0.1505
300369,2014/12/31,0.2235
300323,2014/12/31,0.168
300326,2014/12/31,0.1114
300142,2013/12/31,0.1505
300378,2013/12/31,0.2396
300369,2013/12/31,0.2979
300077,2013/12/31,0.0585
300077,2014/12/31,0.0496
300041,2013/12/31,0.1904
300378,2014/12/31,0.1791
300323,2013/12/31,0.168
300193,2014/12/31,0.2406
300125,2015/12/31,0.2188
300298,2015/12/31,0.3359
300131,2015/12/31,0.2655
300227,2015/12/31,0.3367
300450,2015/12/31,0.4058
300376,2015/12/31,0.6528
300437,2015/12/31,0.5101
300349,2015/12/31,0.3634
300161,2015/12/31,0.2036
300324,2015/12/31,0.3899
300118,2015/12/31,0.3268
300271,2015/12/31,0.2147
300054,2015/12/31,0.1819
300132,2015/12/31,0.246
300443,2015/12/31,0.4562
300363,2015/12/31,0.1723
300140,2015/12/31,0.2985
300278,2015/12/31,0.4015
300453,2015/12/31,0.301
300121,2015/12/31,0.4526
300175,2015/12/31,0.2246
300233,2015/12/31,0.3758
300095,2015/12/31,0.3189
300336,2015/12/31,0.2456
300243,2015/12/31,0.2282
300162,2015/12/31,0.2862
300228,2015/12/31,0.1174
300193,2015/12/31,0.1969
300146,2015/12/31,0.4881
300259,2015/12/31,0.4075
300331,2015/12/31,0.2701
300014,2015/12/31,0.4218
300191,2015/12/31,0.4708
300144,2015/12/31,0.3208
300122,2015/12/31,0.5413
300204,2015/12/31,0.3729
300203,2015/12/31,0.2461
300077,2015/12/31,0.0438
300432,2015/12/31,0.3935
300009,2015/12/31,0.2788
300441,2015/12/31,0.557
300485,2015/12/31,0.4968
300283,2015/12/31,0.5926
300163,2015/12/31,0.3549
300148,2015/12/31,0.3841
300335,2015/12/31,0.1747
300314,2015/12/31,0.2469
300414,2015/12/31,0.413
300105,2015/12/31,0.2325
300238,2015/12/31,0.2912
300316,2015/12/31,0.5399
300024,2015/12/31,0.2527
300430,2015/12/31,0.2961
300245,2015/12/31,0.1983
300111,2015/12/31,0.1637
300457,2015/12/31,0.4527
